artigoEmPeriodico	2018	http://dx.doi.org/10.20396/rho.v18i1.8651607	A avaliação da aprendizagem no Grupo Escolar DR. Brasil Caiado em Anápolis/GO (1926-1929)	Revista HISTEDBR On-line	ABREU, S. E. A. de ; GONCALVES NETO, Wenceslau	C	
artigoEmPeriodico	2018	http://dx.doi.org/10.17533/udea.rib.v41n1a03	Perspectivas e desa os dos dispositivos mo´veis para as bibliotecas universita´rias brasileiras	REVISTA INTERAMERICANA DE BIBLIOTECOLOGIA	AGUILLO CAN~O, ISIDRO FRANCISO ; GODOY VIERA, ANGEL FREDDY ; VARVAKIS, GREGO´RIO	Qualis nao identificado	REVISTA INTERAMERICANA DE BIBLIOTECOLOGIA
artigoEmPeriodico	2018		Diversidade na instituição arquivística: Um levantamento de práticas com públicos especiais no Arquivo Público do Estado do Espírito Santo.	ACERVO: REVISTA DO ARQUIVO NACIONAL	ALDABALDE, Taiguara Villela	Qualis nao identificado	ACERVO: REVISTA DO ARQUIVO NACIONAL
artigoEmPeriodico	2018	http://dx.doi.org/10.1590/1982-02672018v26e11	Arquivos de Pessoa(s): um estudo sobre entendimentos e representações dos arquivos manuscritos na Casa Fernando Pessoa	ANAIS DO MUSEU PAULISTA	ALDABALDE, TAIGUARA VILLELA	Qualis nao identificado	ANAIS DO MUSEU PAULISTA
artigoEmPeriodico	2018		Uma história das Ciências Físicas, Químicas e Naturais no Ensino Secundário (1882-1950)	HISTÓRIA DA EDUCAÇÃO	ALVES, Eva Maria Siqueira; OLIVEIRA, João Paulo Gama	Qualis nao identificado	HISTÓRIA DA EDUCAÇÃO
artigoEmPeriodico	2018		ATHENEU SERGIPENSE, INSTITUTO HISTÓRICO E GEOGRÁFICO DE SERGIPE, UNIVERSIDADE FEDERAL DE SERGIPE: casas de pesquisas, formação e histórias de Sergipe	REVISTA DO INSTITUTO HISTÓRICO E GEOGRÁFICO DE SERGIPE	ALVES, Eva Maria Siqueira; OLIVEIRA, João Paulo Gama ; RODRIGUES, Simone Paixão	Qualis nao identificado	REVISTA DO INSTITUTO HISTÓRICO E GEOGRÁFICO DE SERGIPE
artigoEmPeriodico	2018		3) O pesquisador assume seus limites ? início do processo para ir além da ?cegueira epistemológica?	Educação e Cultura Contemporânea	ALVES, NILDA GUIMARÃES; LOUZADA, V. C. R.	Qualis nao identificado	Educação e Cultura Contemporânea
artigoEmPeriodico	2018		IMAGENS E SONS DE MOVIMENTOS MIGRATÓRIOS NO CINEMA E NAS ESCOLAS	Revista Brasileira de Pesquisa (Auto)biográfica	ALVES, NILDA; LOUZADA, V. C. R. ; BRANDÃO, Rebeca. ; ALMEIDA, Nilton Alves ; OVELHA, I. A. ; TOJA, N.	Qualis nao identificado	Revista Brasileira de Pesquisa (Auto)biográfica
artigoEmPeriodico	2018		Técnicas de análise de dados empregadas no Programa de Pós-graduação de Ciência da Inf ormação da Universidade Estadual de Londrina	Encontros Bibli (UFSC)	ALVES, R. P. S. ; BORTOLIN, S. ; ALCARA, Adriana	Qualis nao identificado	Encontros Bibli (UFSC)
artigoEmPeriodico	2018		Análise do Perfil Profissional do Padeiro e/ou Confeiteiro da cidade de Betim - MG	Anais do Congresso da Soter	AMANTE, P. R. ; CATÃO, L. P.	Qualis nao identificado	Anais do Congresso da Soter
artigoEmPeriodico	2018		THE FORESTRY CONCESSION AS AN INSTRUMENT OF INNOVATION IN THE USE OF THE PUBLIC FORESTRY FOR LOCAL SUSTAINABLE DEVELOPMENT	INTERNATIONAL JOURNAL OF DEVELOPMENT RESEARCH	ARAUJO, K. D. ; CARNIELLO, M. F.	Qualis nao identificado	INTERNATIONAL JOURNAL OF DEVELOPMENT RESEARCH
artigoEmPeriodico	2018		Existe um pensamento informacional ibero-americano?	LOGEION: FILOSOFIA DA INFORMAÇÃO	ARAÚJO, C. A. Á	Qualis nao identificado	LOGEION: FILOSOFIA DA INFORMAÇÃO
artigoEmPeriodico	2018		Consolidação do diálogo entre Arquivologia, Biblioteconomia, Museologia e Ciência da Informação: a contribuição brasileira.	Bibliotecas. Anales de Investigación	ARAUJO, C. A. A. ; TANUS, G. F. S. ; Ramos, José Alimateia Aquino ; RENAULT, L. V. ; NOGUEIRA, R. D.	Qualis nao identificado	Bibliotecas. Anales de Investigación
artigoEmPeriodico	2018	http://dx.doi.org/10.11606/issn.2316-7114.sig.2018.138589	-Cinema como evento-: atrações de palco e tela no cineteatro Santa Helena em São Paulo (1927)	Significação-Revista de Cultura Audiovisual	Araújo, Luciana Corrêa de	Qualis nao identificado	Significação-Revista de Cultura Audiovisual
artigoEmPeriodico	2018	http://dx.doi.org/10.5195/BIBLIOS.2018.342	O controle de autoridade no domínio bibliográfico: os catálogos digitais	BIBLIOS (LIMA)	ASSUMPÇÃO, F. S. ; SANTOS, P. L. V. A. C. ; ZAFALON, Zaira Regina	Qualis nao identificado	BIBLIOS (LIMA)
artigoEmPeriodico	2018	http://dx.doi.org/10.3390/su10093121	Smart Cities: The Main Drivers for Increasing the Intelligence of Cities	Sustainability	AZEVEDO GUEDES, ANDRÉ ; CARVALHO ALVARENGA, JEFERSON ; DOS SANTOS SGARBI GOULART, MAURÍCIO ; RODRIGUEZ Y RODRIGUEZ, MARTIUS ; PEREIRA SOARES, CARLOS	Qualis nao identificado	Sustainability
artigoEmPeriodico	2018	http://dx.doi.org/10.1590/0103-1104201811708	Redes sociais de usuários portadores de tuberculose: a influência das relações no enfrentamento da doença	Saúde em Debate	AZEVEDO, MARIANA DE ALMEIDA JORGE DE ; DAVID, HELENA MARIA SCHERLOWSKI LEAL ; Marteleto, Regina Maria	Qualis nao identificado	Saúde em Debate
artigoEmPeriodico	2018		Resultados preliminares da pesquisa no sambaqui sob rocha	Boletim do Museu Paraense Emilio Goeldi. Antropologia (Cessou em 2002)	BANDEIRA, Dione da Rocha; ALVES, Maria Cristina ; ALMEIDA, Graciele Tules ; SA, J. C. ; FERREIRA, J. ; VOSS, C. V. ; CIDRAL, V. ; BARTZ, M. C. ; MELO JUNIOR, J. C. F.	Qualis nao identificado	Boletim do Museu Paraense Emilio Goeldi. Antropologia (Cessou em 2002)
